id,name,deadline_time,average_entry_score,finished,data_checked,highest_scoring_entry,deadline_time_epoch,highest_score,is_previous,is_current,is_next,most_selected,most_transferred_in,top_element,transfers_made
1,Gameweek 1,2025-08-15T17:30:00Z,54,True,True,3772644,1755279000,127,False,False,False,235,1,531,0
2,Gameweek 2,2025-08-22T17:30:00Z,51,True,True,2963810,1755883800,140,False,False,False,235,427,8,18178809
3,Gameweek 3,2025-08-30T10:00:00Z,48,True,True,4374360,1756548000,118,False,False,False,249,82,260,27802596
4,Gameweek 4,2025-09-13T10:00:00Z,63,True,True,7997042,1757757600,139,False,False,False,249,419,26,27408255
5,Gameweek 5,2025-09-20T10:00:00Z,42,True,True,9985225,1758362400,112,False,False,False,249,82,660,16533109
6,Gameweek 6,2025-09-27T10:00:00Z,46,True,True,11887643,1758967200,124,False,False,False,249,430,683,22147208
7,Gameweek 7,2025-10-03T17:30:00Z,60,True,True,5563383,1759512600,135,False,False,False,249,430,82,16350776
8,Gameweek 8,2025-10-18T10:00:00Z,56,True,True,7646584,1760781600,138,False,False,False,430,714,225,16106510
9,Gameweek 9,2025-10-24T17:30:00Z,46,True,True,956028,1761327000,124,False,False,False,430,714,575,12369350
10,Gameweek 10,2025-11-01T13:30:00Z,65,True,True,6474767,1762003800,135,False,False,False,430,119,169,14380415
11,Gameweek 11,2025-11-08T11:00:00Z,38,True,True,12376400,1762599600,120,False,False,False,430,283,228,10882725
12,Gameweek 12,2025-11-22T11:00:00Z,39,True,True,480852,1763809200,134,False,False,False,430,119,266,13914718
13,Gameweek 13,2025-11-29T13:30:00Z,35,True,True,12500352,1764423000,123,False,False,False,430,136,684,16415537
14,Gameweek 14,2025-12-02T18:00:00Z,58,True,True,9285305,1764698400,138,False,False,False,430,136,414,9442288
15,Gameweek 15,2025-12-06T11:00:00Z,49,True,True,6050277,1765018800,133,False,False,False,430,414,449,11765293
16,Gameweek 16,2025-12-13T13:30:00Z,60,True,True,3781937,1765632600,149,False,False,False,430,414,516,24497356
17,Gameweek 17,2025-12-20T11:00:00Z,66,True,True,6887913,1766228400,148,False,False,False,430,329,107,16356600
18,Gameweek 18,2025-12-26T18:30:00Z,44,True,True,3080196,1766773800,118,False,False,False,430,661,120,16835174
19,Gameweek 19,2025-12-30T18:00:00Z,40,True,True,6796894,1767117600,112,False,False,False,430,450,303,15084299
20,Gameweek 20,2026-01-03T11:00:00Z,42,True,True,7324049,1767438000,117,False,False,False,430,5,136,10282852
21,Gameweek 21,2026-01-06T18:30:00Z,48,True,True,1967626,1767724200,118,False,False,False,430,5,487,10609899
22,Gameweek 22,2026-01-17T11:00:00Z,40,True,True,12542399,1768647600,111,False,False,False,430,5,441,12244354
23,Gameweek 23,2026-01-24T11:00:00Z,44,True,True,943181,1769252400,115,False,False,False,430,449,387,8986548
24,Gameweek 24,2026-01-31T13:30:00Z,55,True,True,2348034,1769866200,126,False,False,False,430,449,18,14084799
25,Gameweek 25,2026-02-06T18:30:00Z,58,True,True,510899,1770402600,147,False,False,False,430,249,235,10565045
26,Gameweek 26,2026-02-10T18:00:00Z,58,True,True,439887,1770746400,138,False,False,False,430,666,373,10933870
27,Gameweek 27,2026-02-21T13:30:00Z,45,True,True,11253480,1771680600,117,False,False,False,430,249,411,8668376
28,Gameweek 28,2026-02-27T18:30:00Z,53,True,True,9830298,1772217000,125,False,False,False,430,373,121,8235195
29,Gameweek 29,2026-03-03T18:00:00Z,54,True,True,4150549,1772560800,143,False,False,False,430,661,249,8012299
30,Gameweek 30,2026-03-14T13:30:00Z,43,True,True,11679396,1773495000,110,False,False,False,430,249,55,7392015
31,Gameweek 31,2026-03-20T18:30:00Z,38,True,True,8715367,1774031400,109,False,False,False,249,684,311,19361841
32,Gameweek 32,2026-04-10T17:30:00Z,46,True,True,13046216,1775842200,132,False,False,False,430,151,606,11209415
33,Gameweek 33,2026-04-18T10:00:00Z,66,True,True,7284485,1776506400,177,False,False,False,430,691,515,16755835
34,Gameweek 34,2026-04-24T17:30:00Z,36,True,True,867817,1777051800,114,False,False,False,430,64,526,24247093
35,Gameweek 35,2026-05-01T17:30:00Z,50,True,True,2670562,1777656600,129,False,False,False,430,417,527,8319244
36,Gameweek 36,2026-05-09T10:00:00Z,65,True,True,436924,1778320800,145,False,False,False,430,417,145,9092077
37,Gameweek 37,2026-05-15T17:30:00Z,53,True,True,7322572,1778866200,131,True,False,False,430,666,64,6365648
38,Gameweek 38,2026-05-24T13:30:00Z,41,True,True,1457502,1779629400,117,False,True,False,430,624,441,8603009
