id,code,web_name,first_name,second_name,team,element_type,now_cost,cost_millions,selected_by_percent,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,form,value_form,value_season
1,154561,Raya,David,Raya Martín,1,1,62,6.2,36.4,162,4.4,3330,0,0,19,26,0,0,0,1,0,60,11,633,541.6,33.5,0.0,57.5,5.2,0.8,26.1
2,109745,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,1,40,4.0,0.4,2,2.0,90,0,0,0,1,0,0,0,0,0,2,0,11,19.8,0.0,0.0,2.0,0.5,0.1,0.5
3,463748,Hein,Karl,Hein,1,1,40,4.0,0.2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,551221,Setford,Tommy,Setford,1,1,39,3.9,0.2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,226597,Gabriel,Gabriel,dos Santos Magalhães,1,2,73,7.3,45.4,209,6.5,2750,3,5,18,20,0,0,0,4,0,0,30,724,824.0,128.5,298.0,125.0,6.0,0.8,28.6
6,462424,Saliba,William,Saliba,1,2,63,6.3,17.1,137,4.4,2614,1,0,15,20,0,0,0,2,0,0,12,581,552.6,201.0,90.0,84.3,4.8,0.8,21.7
7,466075,Calafiori,Riccardo,Calafiori,1,2,56,5.6,6.0,109,4.2,1697,1,2,13,8,0,0,0,5,0,0,6,389,283.0,182.3,313.0,77.9,4.0,0.7,19.5
8,445122,J.Timber,Jurriën,Timber,1,2,60,6.0,15.2,149,5.0,2452,3,6,13,20,0,0,0,5,0,0,9,532,499.0,402.6,352.0,125.7,0.0,0.0,24.8
9,440854,Kiwior,Jakub,Kiwior,1,2,54,5.4,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,499169,Lewis-Skelly,Myles,Lewis-Skelly,1,2,50,5.0,1.9,29,1.4,697,0,0,2,8,0,0,0,3,0,0,0,110,73.2,74.6,29.0,17.6,3.8,0.8,5.8
11,198869,White,Benjamin,White,1,2,51,5.1,0.5,45,3.8,699,0,1,5,6,0,0,0,0,0,0,3,181,154.8,133.4,54.0,34.3,1.8,0.4,8.8
13,563324,Clarke,Brayden,Clarke,1,2,37,3.7,0.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,588793,Kacurri,Maldini,Kacurri,1,2,39,3.9,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
