Player,Team,Position,Owners,Ownership %
Acheampong,Chelsea,DEF,1,4.0%
Aina,Nott'm Forest,DEF,1,4.0%
Areola,West Ham,GK,1,4.0%
Aït-Nouri,Man City,DEF,1,4.0%
Beto,Everton,FWD,1,4.0%
Brobbey,Sunderland,FWD,1,4.0%
Bruno G.,Newcastle,MID,1,4.0%
Caicedo,Chelsea,MID,1,4.0%
Calafiori,Arsenal,DEF,1,4.0%
Cash,Aston Villa,DEF,1,4.0%
Cucurella,Chelsea,DEF,1,4.0%
Darlow,Leeds,GK,1,4.0%
De Cuyper,Brighton,DEF,1,4.0%
Elanga,Newcastle,MID,1,4.0%
Frimpong,Liverpool,DEF,1,4.0%
Fábio Silva,Wolves,FWD,1,4.0%
Gakpo,Liverpool,MID,1,4.0%
Garner,Everton,MID,1,4.0%
Gvardiol,Man City,DEF,1,4.0%
H.Traorè,Bournemouth,MID,1,4.0%
