Player,Team,Position,Owners,Ownership %
Haaland,Man City,FWD,18,72.0%
Gabriel,Arsenal,DEF,15,60.0%
B.Fernandes,Man Utd,MID,13,52.0%
Guéhi,Man City,DEF,12,48.0%
Semenyo,Man City,MID,12,48.0%
Raya,Arsenal,GK,10,40.0%
Rogers,Aston Villa,MID,10,40.0%
Virgil,Liverpool,DEF,10,40.0%
Calvert-Lewin,Leeds,FWD,9,36.0%
Thiago,Brentford,FWD,8,32.0%
Wilson,Fulham,MID,8,32.0%
Cherki,Man City,MID,7,28.0%
Dúbravka,Burnley,GK,7,28.0%
Rice,Arsenal,MID,7,28.0%
Saliba,Arsenal,DEF,7,28.0%
Cunha,Man Utd,MID,6,24.0%
O'Reilly,Man City,DEF,6,24.0%
Senesi,Bournemouth,DEF,6,24.0%
Szoboszlai,Liverpool,MID,6,24.0%
Bowen,West Ham,FWD,5,20.0%
