Manager,Last 5 GW Avg,Season Avg,Form Diff
Indy Jassal,69.6,56.8,12.8
Ryan Soosayraj,61.2,53.2,8.0
lewis greenwood,62.2,54.9,7.3
Kevin Daniel Grego,57.6,51.8,5.8
Corey Rastello,64.2,59.1,5.1
Alastair Gordon,54.0,49.7,4.3
Chris Kuzmin,52.0,47.9,4.1
Younas Naba,57.4,54.1,3.3
Chris Dorney,59.6,56.8,2.8
Mohammad Khan,56.6,54.0,2.6
Gabi Lupei,64.6,62.3,2.3
Rich Mephan,54.2,52.3,1.9
Philip Jankun,56.0,55.5,0.5
Sharon Belton,47.4,47.2,0.2
Kameron Sandhu,36.0,36.8,-0.8
micah ladu,44.8,45.7,-0.9
Tare Daobry,53.0,54.4,-1.4
Lee Jackson,51.4,54.2,-2.8
Kyle Lacey,52.0,55.9,-3.9
Jack Lyons,49.0,53.1,-4.1
James Seaton,46.6,51.3,-4.7
Ben Williams,53.2,58.8,-5.6
leonit haskaj,41.2,47.3,-6.1
Matthew Roberts,44.8,51.3,-6.5
Paul Payne,47.2,56.5,-9.3
